r,cm	e	O+	O2+	O3+	O4+	O-	O2-	O3-	O4-	O2[a]	O2[b]	O2[Hz]	O	O[1D]	O[1S]	O3	O2	Charge
4.21e-011	3.06e-014	2.51e-010	7.93e-186	5.62e-008	2.26e-009	1.14e-008	4.27e-008	1.80e-185	1.49e-004	9.26e-005	1.32e-007	4.90e-004	5.53e-010	3.06e-009	1.39e-004	9.99e-001	
4.48e-011	3.34e-014	2.67e-010	1.44e-188	5.74e-008	2.38e-009	1.17e-008	4.35e-008	3.31e-188	1.53e-004	9.41e-005	1.40e-007	5.03e-004	5.89e-010	3.24e-009	1.41e-004	9.99e-001	
4.77e-011	3.64e-014	2.84e-010	2.58e-191	5.86e-008	2.51e-009	1.20e-008	4.42e-008	5.99e-191	1.56e-004	9.56e-005	1.49e-007	5.17e-004	6.26e-010	3.42e-009	1.43e-004	9.99e-001	
5.07e-011	3.96e-014	3.02e-010	4.55e-194	5.98e-008	2.65e-009	1.24e-008	4.50e-008	1.07e-193	1.60e-004	9.71e-005	1.57e-007	5.30e-004	6.65e-010	3.62e-009	1.45e-004	9.99e-001	
5.39e-011	4.31e-014	3.21e-010	7.89e-197	6.10e-008	2.79e-009	1.27e-008	4.58e-008	1.87e-196	1.64e-004	9.86e-005	1.67e-007	5.44e-004	7.07e-010	3.82e-009	1.47e-004	9.99e-001	
5.72e-011	4.69e-014	3.40e-010	1.35e-199	6.23e-008	2.93e-009	1.30e-008	4.66e-008	3.23e-199	1.68e-004	1.00e-004	1.76e-007	5.58e-004	7.50e-010	4.03e-009	1.48e-004	9.99e-001	
6.07e-011	5.10e-014	3.61e-010	2.27e-202	6.35e-008	3.09e-009	1.33e-008	4.74e-008	5.51e-202	1.71e-004	1.02e-004	1.86e-007	5.72e-004	7.96e-010	4.25e-009	1.50e-004	9.99e-001	
6.44e-011	5.53e-014	3.83e-010	3.77e-205	6.48e-008	3.25e-009	1.37e-008	4.82e-008	9.23e-205	1.75e-004	1.03e-004	1.97e-007	5.86e-004	8.44e-010	4.48e-009	1.52e-004	9.99e-001	
6.83e-011	6.01e-014	4.07e-010	6.17e-208	6.61e-008	3.41e-009	1.40e-008	4.90e-008	1.53e-207	1.79e-004	1.05e-004	2.08e-007	6.00e-004	8.94e-010	4.72e-009	1.54e-004	9.99e-001	
7.23e-011	6.51e-014	4.31e-010	9.95e-211	6.75e-008	3.58e-009	1.44e-008	4.98e-008	2.49e-210	1.83e-004	1.07e-004	2.19e-007	6.15e-004	9.47e-010	4.97e-009	1.56e-004	9.99e-001	
7.66e-011	7.06e-014	4.57e-010	1.58e-213	6.88e-008	3.76e-009	1.47e-008	5.07e-008	4.00e-213	1.87e-004	1.08e-004	2.31e-007	6.30e-004	1.00e-009	5.23e-009	1.58e-004	9.99e-001	
8.10e-011	7.65e-014	4.84e-010	2.48e-216	7.01e-008	3.95e-009	1.51e-008	5.15e-008	6.34e-216	1.92e-004	1.10e-004	2.44e-007	6.46e-004	1.06e-009	5.51e-009	1.60e-004	9.99e-001	
8.57e-011	8.29e-014	5.12e-010	3.85e-219	7.15e-008	4.15e-009	1.54e-008	5.23e-008	9.91e-219	1.96e-004	1.12e-004	2.58e-007	6.61e-004	1.12e-009	5.79e-009	1.62e-004	9.99e-001	
9.06e-011	8.97e-014	5.42e-010	5.88e-222	7.29e-008	4.35e-009	1.58e-008	5.32e-008	1.53e-221	2.00e-004	1.14e-004	2.72e-007	6.77e-004	1.19e-009	6.09e-009	1.63e-004	9.99e-001	
9.58e-011	9.71e-014	5.74e-010	8.87e-225	7.43e-008	4.56e-009	1.62e-008	5.41e-008	2.33e-224	2.04e-004	1.16e-004	2.86e-007	6.93e-004	1.26e-009	6.40e-009	1.65e-004	9.99e-001	
1.01e-010	1.05e-013	6.07e-010	1.32e-227	7.58e-008	4.79e-009	1.65e-008	5.49e-008	3.50e-227	2.09e-004	1.18e-004	3.02e-007	7.10e-004	1.33e-009	6.73e-009	1.67e-004	9.99e-001	
1.07e-010	1.14e-013	6.43e-010	1.94e-230	7.72e-008	5.02e-009	1.69e-008	5.58e-008	5.20e-230	2.13e-004	1.20e-004	3.18e-007	7.26e-004	1.40e-009	7.07e-009	1.69e-004	9.99e-001	
1.13e-010	1.23e-013	6.80e-010	2.82e-233	7.87e-008	5.26e-009	1.73e-008	5.67e-008	7.62e-233	2.18e-004	1.22e-004	3.35e-007	7.43e-004	1.48e-009	7.43e-009	1.71e-004	9.99e-001	
1.19e-010	1.33e-013	7.19e-010	4.05e-236	8.02e-008	5.51e-009	1.77e-008	5.76e-008	1.10e-235	2.23e-004	1.24e-004	3.52e-007	7.61e-004	1.57e-009	7.80e-009	1.72e-004	9.99e-001	
1.25e-010	1.44e-013	7.60e-010	5.73e-239	8.18e-008	5.77e-009	1.81e-008	5.85e-008	1.58e-238	2.27e-004	1.26e-004	3.71e-007	7.79e-004	1.65e-009	8.19e-009	1.74e-004	9.99e-001	
